"name","icpsr","state","party","congress","chamber","born","died","image","source","provenance"
"HARRISON, Thomas Walter","004136","Virginia","Democratic Party",70,"House",1856,1935,"images/bio_guide/004136.jpg","bio_guide",""
"HERSEY, Ira Greenlief","004368","Maine","Republican Party",70,"House",1858,1943,"images/bio_guide/004368.jpg","bio_guide",""
"HOWARD, Everette Burgess","004625","Oklahoma","Democratic Party",70,"House",1873,1950,"images/bio_guide/004625.jpg","bio_guide",""
"JACOBSTEIN, Meyer","004875","New York","Democratic Party",70,"House",1880,1963,"images/bio_guide/004875.jpg","bio_guide",""
"JONES, Andrieus Aristieus","005023","New Mexico","Democratic Party",70,"Senate",1862,1927,"images/bio_guide/005023.jpg","bio_guide",""
"KENT, Everett","005193","Pennsylvania","Democratic Party",70,"House",1888,1963,"images/manual/005193.jpg","manual","The News Herald, Franklin, PA, Jan 18, 1924 (Public Domain)"
"KINDRED, John Joseph","005251","New York","Democratic Party",70,"House",1864,1937,"images/bio_guide/005251.jpg","bio_guide",""
"KING, Edward John","005259","Illinois","Republican Party",70,"House",1867,1929,"images/bio_guide/005259.jpg","bio_guide",""
"LARRAZOLO, Octaviano Ambrosio","005480","New Mexico","Republican Party",70,"Senate",1859,1930,"images/bio_guide/005480.jpg","bio_guide",""
"LOCHER, Cyrus","005731","Ohio","Democratic Party",70,"Senate",1878,1929,"images/bio_guide/005731.jpg","bio_guide",""
"LOWREY, Bill Green","005816","Mississippi","Democratic Party",70,"House",1862,1947,"images/bio_guide/005816.jpg","bio_guide",""
"LYON, Homer Le Grand","005865","North Carolina","Democratic Party",70,"House",1879,1956,"images/bio_guide/005865.jpg","bio_guide",""
"MADDEN, Martin Barnaby","005899","Illinois","Republican Party",70,"House",1855,1928,"images/bio_guide/005899.jpg","bio_guide",""
"MAJOR, Samuel Collier","005933","Missouri","Democratic Party",70,"House",1869,1931,"images/bio_guide/005933.jpg","bio_guide",""
"MARTIN, Whitmell Pugh","006041","Louisiana","Democratic Party",70,"House",1867,1929,"images/bio_guide/006041.jpg","bio_guide",""
"MAYFIELD, Earle Bradford","006109","Texas","Democratic Party",70,"Senate",1881,1964,"images/bio_guide/006109.jpg","bio_guide",""
"MONAST, Louis","006589","Rhode Island","Republican Party",70,"House",1863,1936,"images/manual/006589.jpg","manual","Richard Joseph McBride's photos, via Geni.com"
"MOORMAN, Henry DeHaven","006662","Kentucky","Democratic Party",70,"House",1880,1939,"images/wiki/006662.jpg","wiki",""
"MORIN, John Mary","006688","Pennsylvania","Republican Party",70,"House",1868,1942,"images/bio_guide/006688.jpg","bio_guide",""
"MORROW, John","006730","New Mexico","Democratic Party",70,"House",1865,1935,"images/bio_guide/006730.jpg","bio_guide",""
"MacGREGOR, Clarence","005877","New York","Republican Party",70,"House",1872,1952,"images/bio_guide/005877.jpg","bio_guide",""
"McLEAN, George Payne","006335","Connecticut","Republican Party",70,"Senate",1857,1932,"images/bio_guide/006335.jpg","bio_guide",""
"O'BRIEN, William Smith","007006","West Virginia","Democratic Party",70,"House",1862,1948,"images/wiki/007006.jpg","wiki",""
"OLDFIELD, William Allan","007050","Arkansas","Democratic Party",70,"House",1874,1928,"images/bio_guide/007050.jpg","bio_guide",""
"PALMER, Cyrus Maffet","007174","Pennsylvania","Republican Party",70,"House",1887,1959,"images/manual/007174.jpg","manual","Pennsylvania State Legislature http://www.legis.state.pa.us/cfdocs/legis/BiosHistory/ViewAll.cfm?body=H"
"PEERY, George Campbell","007304","Virginia","Democratic Party",70,"House",1873,1952,"images/bio_guide/007304.jpg","bio_guide",""
"RATHBONE, Henry Riggs","007741","Illinois","Republican Party",70,"House",1870,1928,"images/bio_guide/007741.jpg","bio_guide",""
"REED, James Alexander","007786","Missouri","Democratic Party",70,"Senate",1861,1944,"images/bio_guide/007786.jpg","bio_guide",""
"REED, James Byron","007787","Arkansas","Democratic Party",70,"House",1881,1935,"images/bio_guide/007787.jpg","bio_guide",""
